CIRCLE
posix_time: time in seconds since the 1970 epoch.
x_mocap: x position in m from the ASTA mocap frame.
y_mocap: y position in m from the ASTA mocap frame.
z_mocap: z position in m from the ASTA mocap frame.
qx_mocap: quaternion i component from the ASTA mocap frame.
qy_mocap: quaternion j component from the ASTA mocap frame.
qz_mocap: quaternion k component from the ASTA mocap frame.
qw_mocap: quaternion scalar component from the ASTA mocap frame.
ax: x dir body-fixed acceleration in m/s/s measured by IMU.
ay: y dir body-fixed acceleration in m/s/s measured by IMU.
az: z dir body-fixed acceleration in m/s/s measured by IMU.
wx: angular velocity in rad/s around body-fixed x axis measured by IMU.
wy: angular velocity in rad/s around body-fixed y axis measured by IMU.
wz: angular velocity in rad/s around body-fixed z axis measured by IMU.
ax_c: x dir gravity compensated acceleration in m/s/s measured by IMU.
ay_c: y dir gravity compensated acceleration in m/s/s measured by IMU.
az_c: z dir gravity compensated acceleration in m/s/s measured by IMU.
qx: quaternion i component from the NED frame to body fixed frame measured by IMU.
qy: quaternion j component from the NED frame to body fixed frame measured by IMU.
qz: quaternion k component from the NED frame to body fixed frame measured by IMU.
qw: quaternion scalar component from the NED frame to body fixed frame measured by IMU.
pwm0: Motor pulse width modulation for motor0 in microseconds.
pwm1: Motor pulse width modulation for motor1 in microseconds.
pwm2: Motor pulse width modulation for motor2 in microseconds.
pwm3: Motor pulse width modulation for motor3 in microseconds.
pwm4: Motor pulse width modulation for motor4 in microseconds.
pwm5: Motor pulse width modulation for motor5 in microseconds.
N0: Motor thrust in N for motor0.
N1: Motor thrust in N for motor1.
N2: Motor thrust in N for motor2.
N3: Motor thrust in N for motor3.
N4: Motor thrust in N for motor4.
N5: Motor thrust in N for motor5.
Fx: Body fixed surge force (N).
Fy: Body fixed sway force (N).
Fz: Body fixed heart force (N).
Mx: Body fixed roll moment (Nm).
My: Body fixed pitch moment (Nm).
Mz: Body fixed yaw moment (Nm).
posix,x_mocap,y_mocap,z_mocap,qx_mocap,qy_mocap,qz_mocap,qw_mocap,ax,ay,az,wx,wy,wz,ax_c,ay_c,az_c,qx,qy,qz,qw,pwm0,pwm1,pwm2,pwm3,pwm4,pwm5,N0,N1,N2,N3,N4,N5,Fx,Fy,Fz,Mx,My,Mz
1645468287.1068358,2.5876162937519553,-1.451639598068718,-0.09046965359899048,-0.01960167558506928,-0.01076396591799649,0.643593687715046,0.7650405717903606,-0.4002693942695773,0.47338699808986023,9.869960953820282,-0.002055405501887585,0.0034183162293001668,0.12730510272582807,-0.39838963343430467,0.46437397291212196,0.06331566751547946,0.0003662831241583828,0.0002933580477510865,0.4517651517423861,-0.8921367762002123,1548.0,1472.0,1472.0,1475.0,1448.0,1512.0,2.583759372046188,-1.234827073119959,-1.234827073119959,-1.0931825232546544,-2.395161595995887,0.6705404961030581,1.3489322989262291,-0.6705404961030581,-4.723171192370501,-0.10105546358352513,-0.011751599933722908,0.4726644659992599
1645468287.2068357,2.5917419471465566,-1.4186723905807082,-0.091588707200548,-0.019667686884814534,-0.012157868292151531,0.6538938075998249,0.7562329381307025,-0.3728015331423112,0.48037701685769,9.826858632569246,-0.0029350746858394696,0.007482249227639349,0.11606574154838369,-0.3686301805292577,0.4766967830759746,0.020210224076173608,7.307254676280283e-05,0.00027403832761076094,0.4460998352965002,-0.8949831599040473,1548.0117574564933,1472.0117574564933,1472.976485087013,1475.0117574564933,1447.0117574564933,1512.0,2.584443306973245,-1.234271443796458,-1.1886813001474716,-1.0926282848405495,-2.4445378123568022,0.6705404961030581,1.350171863176787,-0.6705404961030581,-4.725847397344824,-0.1062984900577391,-0.028564939789536746,0.4726792211436688
1645468287.3068357,2.591841727613667,-1.4178041812573177,-0.09164213795117623,-0.019725066059386107,-0.012243746857528956,0.6542184790158156,0.7559492007708418,-0.386886615470738,0.4662919345292632,9.883198961882952,-0.00549660508909698,-0.0013721645955088162,0.11380810695395799,-0.3810398763951654,0.458648066165572,0.07655404822685355,0.00021884762568247798,0.0004390150516847683,0.44071248588676804,-0.8976481850675166,1548.8454734289435,1472.8454734289435,1471.3090531421133,1475.8454734289435,1447.8454734289435,1512.0,2.6329408262387317,-1.194872017396444,-1.267521346233799,-1.053327487202673,-2.402882309353285,0.6705404961030581,1.4380688088422877,-0.6705404961030581,-4.723731142789758,-0.09271229302945566,-0.01435585828544225,0.4737255018231981
1645468287.4068356,2.5953305835556644,-1.392370042757158,-0.092364839555509,-0.019049500784933768,-0.011846690691532408,0.6625997965217918,0.7486376173348386,-0.38241527192373714,0.4559871859618697,9.855462859618685,-0.007110964958105682,0.0057576729914329385,0.11360417200024465,-0.3783893012659832,0.44733056769337165,0.0488178253733432,0.0003074973391927228,0.00037686999733656094,0.4354629901555114,-0.900206502764345,1549.6795987127623,1473.6795987127623,1471.6795987127623,1474.6408025744756,1448.0,1512.6795987127623,2.6816875582386936,-1.1554834398155307,-1.2499843038010707,-1.1101382472432342,-2.395161595995887,0.704120108754098,1.526204118423163,-0.704120108754098,-4.755284147040192,-0.10713872252781595,-0.006131832866526875,0.47648067021394075
1645468287.5068355,2.596745804210107,-1.380201730147962,-0.09266853587998114,-0.018815358220220797,-0.012042787005093173,0.6665709298832708,0.7451068037608745,-0.41547055498245067,0.47056856135566055,9.822220129084528,-0.008448877227334834,0.011013731582698161,0.12152927160630224,-0.41674918326854965,0.4631369771607695,0.015573705707528314,0.0003695382329353335,0.0001039297063029656,0.4299360028336485,-0.9028592836691306,1549.4866515248161,1473.4866515248161,1471.4866515248161,1474.0,1448.0,1513.0,2.6703997649541713,-1.1645930913809743,-1.2591120606280881,-1.1403562740924826,-2.395161595995887,0.719951438208227,1.505806673573197,-0.719951438208227,-4.794629930716458,-0.11233458623484509,0.0007536792768196364,0.4770217503889531
1645468287.6068354,2.5970334986495494,-1.3768085378934527,-0.09257844514494443,-0.018853826851590497,-0.012156357710788837,0.6678652824923348,0.7439440305706414,-0.45515823155120866,0.4798450552409681,9.825582505240968,-0.0055843008197237615,0.004348905326800457,0.1296302030300374,-0.45807499315357253,0.4750659607942995,0.018935530683232688,0.00028444908924605335,-3.0394646830250166e-05,0.42387698883301184,-0.9057197229290858,1548.7068901234734,1472.7068901234734,1471.5862197530532,1474.2931098765266,1448.0,1512.7068901234734,2.624879391950556,-1.2014211335517844,-1.254416266625037,-1.1265291818091092,-2.395161595995887,0.7054686030687168,1.4234582583987714,-0.7054686030687168,-4.7761070444300335,-0.10874999078319375,-0.002487825823304715,0.475297990586205
1645468287.7068353,2.5971091409877722,-1.3760341895692536,-0.09255461494316404,-0.018708048192633202,-0.012705389377488269,0.6681287203345617,0.7437019531221426,-0.3934852842982406,0.4305066974385937,9.776244147438593,0.003993496273565118,0.0072107184049328525,0.12246111206482732,-0.389798258039391,0.42948541899504633,-0.030404363583166213,-3.087211310302493e-05,0.00019307193726001066,0.4178732637289569,-0.9085053094124709,1548.0024771930296,1472.0024771930296,1472.9950456139409,1474.9975228069704,1448.0,1512.0024771930296,2.5839034711406605,-1.234710006891563,-1.1878037154263439,-1.0932993817414098,-2.395161595995887,0.6706628965444269,1.3491934642490977,-0.6706628965444269,-4.676264693163641,-0.10649800852150727,-0.019960237294923334,0.4726736948009271
1645468287.8068352,2.599248494114979,-1.3523927607938717,-0.09258794612865978,-0.01894366840067502,-0.012443525051414455,0.6773605673270088,0.7353019501825444,-0.3904440741916802,0.4296706741916813,9.847270641916802,-0.0017934823185137335,-0.0015191462361081,0.11456385120775603,-0.38444941474594974,0.43054968165564766,0.0406225458676716,-0.00016691682906950665,0.00025999867499211754,0.4126418131597681,-0.9108933189850941,1548.844488312276,1472.844488312276,1472.155511687724,1475.844488312276,1447.155511687724,1512.0,2.6328835216936217,-1.1949185716582214,-1.2274779620350238,-1.0533739249249565,-2.437355324544806,0.6705404961030581,1.4379649500354006,-0.6705404961030581,-4.718207211504787,-0.09732262255037744,-0.027388101577344438,0.47372426554061486
1645468287.906835,2.5992821335811236,-1.3490575100077709,-0.09250167751884933,-0.018888515504518998,-0.012592104700262403,0.6785428466762949,0.7342099618676412,-0.392266,0.48261739178424534,9.848448302738586,-0.00381011771954143,0.0009213360295822403,0.12469961699678721,-0.3857239040105805,0.47829128577223123,0.041802556562126746,6.613880825925396e-05,0.00039354647550079785,0.407104677820875,-0.9133814219936769,1549.0,1473.0,1471.3191015569857,1474.6382031139715,1447.0,1512.6808984430143,2.641929685280047,-1.187569460573286,-1.2670383506093548,-1.1102608287846252,-2.4451252579383436,0.7041843296503345,1.454360224706761,-0.7041843296503345,-4.822424437332323,-0.10520284267896461,-0.011869563745263666,0.47560161825565006
1645468288.006835,2.599913180949263,-1.3177714253544865,-0.09197451151886432,-0.018838441728735715,-0.012835082690265913,0.6887903910274418,0.7246020776908049,-0.39627418791054075,0.5077278862683788,9.840078137910542,-0.0005844725859388096,0.002769473412938054,0.12887388421662221,-0.38616654801736117,0.5005544773443527,0.033436895915485106,0.00012876796028401537,0.0006192796072445147,0.4012366969637823,-0.9159741879120691,1548.4876997285512,1472.4876997285512,1472.0246005428976,1475.0246005428976,1447.0,1512.4876997285512,2.612129018020079,-1.2117795483089693,-1.2336886070762303,-1.0920396662193461,-2.4451252579383436,0.6946381991552076,1.4003494697111096,-0.6946381991552076,-4.77085353123392,-0.10527205665361965,-0.02089447231248425,0.47448139508560094
