ZIGZAG1
posix_time: time in seconds since the 1970 epoch.
x_mocap: x position in m from the ASTA mocap frame.
y_mocap: y position in m from the ASTA mocap frame.
z_mocap: z position in m from the ASTA mocap frame.
qx_mocap: quaternion i component from the ASTA mocap frame.
qy_mocap: quaternion j component from the ASTA mocap frame.
qz_mocap: quaternion k component from the ASTA mocap frame.
qw_mocap: quaternion scalar component from the ASTA mocap frame.
ax: x dir body-fixed acceleration in m/s/s measured by IMU.
ay: y dir body-fixed acceleration in m/s/s measured by IMU.
az: z dir body-fixed acceleration in m/s/s measured by IMU.
wx: angular velocity in rad/s around body-fixed x axis measured by IMU.
wy: angular velocity in rad/s around body-fixed y axis measured by IMU.
wz: angular velocity in rad/s around body-fixed z axis measured by IMU.
ax_c: x dir gravity compensated acceleration in m/s/s measured by IMU.
ay_c: y dir gravity compensated acceleration in m/s/s measured by IMU.
az_c: z dir gravity compensated acceleration in m/s/s measured by IMU.
qx: quaternion i component from the NED frame to body fixed frame measured by IMU.
qy: quaternion j component from the NED frame to body fixed frame measured by IMU.
qz: quaternion k component from the NED frame to body fixed frame measured by IMU.
qw: quaternion scalar component from the NED frame to body fixed frame measured by IMU.
pwm0: Motor pulse width modulation for motor0 in microseconds.
pwm1: Motor pulse width modulation for motor1 in microseconds.
pwm2: Motor pulse width modulation for motor2 in microseconds.
pwm3: Motor pulse width modulation for motor3 in microseconds.
pwm4: Motor pulse width modulation for motor4 in microseconds.
pwm5: Motor pulse width modulation for motor5 in microseconds.
N0: Motor thrust in N for motor0.
N1: Motor thrust in N for motor1.
N2: Motor thrust in N for motor2.
N3: Motor thrust in N for motor3.
N4: Motor thrust in N for motor4.
N5: Motor thrust in N for motor5.
Fx: Body fixed surge force (N).
Fy: Body fixed sway force (N).
Fz: Body fixed heart force (N).
Mx: Body fixed roll moment (Nm).
My: Body fixed pitch moment (Nm).
Mz: Body fixed yaw moment (Nm).
posix,x_mocap,y_mocap,z_mocap,qx_mocap,qy_mocap,qz_mocap,qw_mocap,ax,ay,az,wx,wy,wz,ax_c,ay_c,az_c,qx,qy,qz,qw,pwm0,pwm1,pwm2,pwm3,pwm4,pwm5,N0,N1,N2,N3,N4,N5,Fx,Fy,Fz,Mx,My,Mz
1645467571.7172208,0.42598955927683146,-1.7235703275613838,-0.04485729219130194,-0.008801473364560875,0.0038091415279508083,0.1239715989896106,0.9922394202768766,-0.4033137323400855,0.5658315041279328,9.881676972936035,0.006060360961583803,-0.01786853301183543,0.138186034778477,-0.3524748855713266,0.4465910948719991,0.07589010013535262,-0.0013364573150658257,-0.00647267479396139,-0.8216993160035765,0.5698829287161631,1549.0,1473.0,1522.0,1486.0,1449.0,1497.0,2.641929685280047,-1.187569460573286,1.1723296278469206,-0.5754406064443174,-2.3453639695253514,-0.055167722297483124,1.454360224706761,0.055167722297483124,-1.7484749481227482,-0.19133922554143282,-0.514894273412392,0.43763401565825916
1645467571.8172207,0.43276283650590747,-1.7249195574238865,-0.04477901402130923,-0.007246354969217028,0.002823786792823109,0.1300689556431746,0.9914744491643255,-0.36268718870889616,0.5983645112911049,9.865172177417792,0.01790243277258954,-0.015568327642703838,0.13242528647445803,-0.30248246094854825,0.4564757243257859,0.059733878897637954,-0.0016503901688758094,-0.007683592068093337,-0.8179839977979266,0.5751872894733883,1549.0,1473.0,1522.8308160391093,1488.492448117328,1447.3383679217814,1496.1691839608907,2.641929685280047,-1.187569460573286,1.2148748387299066,-0.45799756494865435,-2.428247248021078,-0.09469719155047865,1.454360224706761,0.09469719155047865,-1.671369974239826,-0.17580831790170076,-0.5573967913154079,0.4356575421956094
1645467571.9172206,0.43335328902743253,-1.7250187126789471,-0.044695264003300886,-0.007115840067864887,0.002763181853874942,0.1306797900283099,0.9913952401158318,-0.33809095713721904,0.6229607428627821,9.815979714274437,0.013000493014215783,-0.02017788854212298,0.13452139968273746,-0.2687697751523437,0.4523955757571743,0.011066994933275627,-0.002174134482276331,-0.009132231055549214,-0.8141081926511025,0.5806373447803339,1548.4254691878075,1472.4254691878075,1523.5745308121925,1491.2981232487698,1447.0,1495.4254691878075,2.60850904797231,-1.2147204150920015,1.2530786919985715,-0.3254918079033434,-2.4451252579383436,-0.1300413800615019,1.3937886328803086,0.1300413800615019,-1.5175383738431156,-0.1587783659779574,-0.590224624855875,0.43316931924932073
1645467572.0172205,0.43394374154895765,-1.7251178679340078,-0.04461151398529255,-0.006985322319466435,0.00270257580937822,0.13129057212848508,0.9913156344102835,-0.3334261,0.644454018164332,9.845916309050105,0.011799728307680423,-0.01977974558428545,0.13370153874457386,-0.25109224334397073,0.44930503777633274,0.04157275375496586,-0.0024350316136813504,-0.010522311788335752,-0.8101926025615059,0.5860642442004829,1548.0,1472.0,1523.1911382081337,1493.8088617918663,1446.1911382081337,1495.0,2.583759372046188,-1.234827073119959,1.2334499199240079,-0.20672679889118226,-2.4857480030882693,-0.15025439262171858,1.3489322989262291,0.15025439262171858,-1.4590248820554437,-0.13932580395494612,-0.6146824467211915,0.43162472156302106
1645467572.1172204,0.44992826045916545,-1.7265770134584433,-0.04417069403921762,-0.004957973674537562,0.001024078119997806,0.1430833965901958,0.9896976868626397,-0.3334261,0.6474427007789517,9.849688952077202,0.013044061293304586,-0.015584771242351485,0.13202079801605865,-0.23724276109070994,0.43046503355765947,0.04592043921512796,-0.0025924459819638298,-0.01182150121358459,-0.8062379639710616,0.5914675619040194,1545.3700758715727,1469.3700758715727,1522.0,1495.6574810321067,1444.6712594839466,1494.6712594839466,2.434518065455884,-1.359832818054956,1.1723296278469206,-0.11899555154952884,-2.562167555589763,-0.1658502185495326,1.074685247400928,0.1658502185495326,-1.5088334792923714,-0.11947860738442348,-0.632712785580252,0.42805784067627
1645467572.2172203,0.4519770451237632,-1.7266474054013712,-0.04405385177262721,-0.004915020902563151,0.0006882418354326775,0.1438166276116532,0.98959190907925,-0.32810579141039675,0.6276256000000012,9.803493735737003,0.016946205007950573,-0.009914854344606653,0.12030007849424092,-0.21706925613696215,0.3917244937705733,0.00031857190695356447,-0.0026352031010965686,-0.013031364921847255,-0.8024158050258878,0.5966172266013997,1537.0955960857664,1461.0955960857664,1522.161355773013,1497.645423092052,1443.838644226987,1493.838644226987,1.9752901266520222,-1.7571051339932955,1.180592486370191,-0.02432735687130392,-2.6042360356308647,-0.20534053529793825,0.21818499265872665,0.20534053529793825,-1.4479709061319774,-0.10263118829563272,-0.6580877038977065,0.41895842820931467
1645467572.3172202,0.4717896959908923,-1.7247516863643089,-0.04158032541032969,-0.001214817939982199,0.00040771072185249627,0.1427443218360129,0.9897587668583274,-0.2997430293358732,0.6276256000000012,9.83894718833016,0.02182775461829182,-0.015365515859082777,0.06628590148798894,-0.16900531024303295,0.37339512445077067,0.03647349297031816,-0.002461122941561171,-0.014368523521380863,-0.7993063187165892,0.6007469494432879,1521.990723992301,1445.990723992301,1523.0030920025663,1501.0123680102654,1443.0,1492.9969079974337,1.1718583030220608,-2.4957280153681216,1.2236975491247513,0.13656075589506994,-2.6467340433264326,-0.24522163000004674,-1.3238697123460608,0.24522163000004674,-1.2864757383066112,-0.08210694597140517,-0.7012236609605944,0.40951134511486864
1645467572.41722,0.4827015552594697,-1.7208654174783815,-0.03948046721685774,-0.00040504262539402383,-0.0005111728137878257,0.13674248727030064,0.9906064136769748,-0.28865347607178227,0.6165335521435658,9.879152743569305,0.02432811755416541,-0.018729858744649774,0.007386360898382266,-0.13809774036292988,0.34352418476900126,0.07747893414432871,-0.002248364376174979,-0.01573823015648461,-0.7984861616312975,0.6018032092407707,1519.47576865345,1443.47576865345,1523.84141044885,1504.3656417954003,1443.0,1492.15858955115,1.044070474133265,-2.622711788257263,1.2668005964311408,0.2980895127145473,-2.6467340433264326,-0.2848937609875061,-1.5786413141239979,0.2848937609875061,-1.0818439341807444,-0.0615453664545947,-0.7370342266826212,0.40743527212553543
1645467572.51722,0.4913468545927092,-1.7176089955838536,-0.03727277172575577,0.0005170521694931244,-0.0004048098580221508,0.13094865886115728,0.9913889335313851,-0.277993948759053,0.6304084543433156,9.882320345656685,0.025251130838154057,-0.01990928873361336,-0.045227173689684264,-0.11019851422235344,0.33942296765112234,0.08143145120869177,-0.002085317479687326,-0.017001058465600218,-0.7988837414754317,0.6012415347165181,1518.4217753233859,1442.4217753233859,1523.4217753233859,1506.7346740298426,1443.0,1492.0,0.9907362721579395,-2.6761448851468637,1.2452246037466292,0.4129072990181236,-2.6467340433264326,-0.2923987675567332,-1.6854086129889243,0.2923987675567332,-0.9886021405616798,-0.04454670572134982,-0.7533515405659574,0.4070713947122157
1645467572.61722,0.5002438449762933,-1.7135042570645118,-0.0355563709739851,0.0017237660207202262,-2.6414718411844162e-05,0.1249925169319113,0.9921561866178099,-0.26477955,0.6869500234442082,9.837785145574035,0.02411650313698526,-0.018120408283910257,-0.08244078903916571,-0.08471472896061917,0.3805273630401185,0.037580075821200085,-0.002007812444004355,-0.018012319046318104,-0.8005730189711211,0.5989610724806985,1518.0,1442.0,1523.0,1509.2070296541524,1443.4023432180509,1491.5976567819491,0.9694661655485106,-2.6975980811475893,1.2235385704771033,0.5334787126896244,-2.626345439164199,-0.3114184241048002,-1.7281319155990786,0.3114184241048002,-0.869328155997471,-0.024858659427220035,-0.7670884764079121,0.4061414671648115
1645467572.7172198,0.5014297788733075,-1.712987233465454,-0.03526044814679523,0.001355272872825095,-0.00017374508338403438,0.12402998946893096,0.992277529101825,-0.2648740857642707,0.7355932857642721,9.845813576157154,0.021330096177598477,-0.015397372567746466,-0.10726683208640767,-0.07535129641922649,0.41771110107849624,0.04614950940721726,-0.0018924265729937776,-0.01877767268586399,-0.8031061063493826,0.5955370682623397,1518.3994728030837,1442.3994728030837,1522.6005271969163,1511.3994728030837,1444.3994728030837,1491.0,0.9896115572725923,-2.677279281383016,1.2030819906216712,0.6409593457633412,-2.5758900409783543,-0.33967098613720736,-1.6876677241104234,0.33967098613720736,-0.7318487045933418,-0.005201681584696641,-0.7734879910385891,0.4047088971385346
1645467572.8172197,0.5020318813777542,-1.7127386970698852,-0.035107198103043344,0.0012254904385204754,-0.00020837282204590448,0.12359254739425796,0.9923322714607997,-0.2941995,0.7649187000000013,9.826291803058051,0.016919846565576203,-0.015374733250377495,-0.11786379084747811,-0.09684770659663955,0.4385402228155732,0.02706155179549839,-0.0017223467218461816,-0.019373569581913636,-0.8063898758908932,0.5910643504594865,1519.0,1443.0,1522.3364158494664,1512.6728316989331,1445.0,1490.6635841505336,1.0198961111382232,-2.6467340433264326,1.1895571277821368,0.7038386706352574,-2.545569476118544,-0.35555857417586645,-1.6268379321882094,0.35555857417586645,-0.6521736777011499,0.006365127908885495,-0.7768189230437892,0.4038845390546421
1645467572.9172196,0.5207295302331334,-1.7044885997347603,-0.03160535716285547,0.0016167549360095797,0.0006100253341411889,0.11071789858520849,0.9938503714872999,-0.2941995,0.7649187000000013,9.844571677122177,0.01321124985505355,-0.011433918352870415,-0.12163969041787322,-0.09270248587109506,0.43562203328341353,0.045524212433088324,-0.0015235014449434293,-0.019627664841228527,-0.8098499158907014,0.5863067008384364,1519.0,1443.0,1523.1394864378622,1514.278972875724,1445.278972875724,1489.8605135621378,1.0198961111382232,-2.6467340433264326,1.2307104161598768,0.7834165360572493,-2.5315588699207465,-0.3934786818444766,-1.6268379321882094,0.3934786818444766,-0.5174319177036204,0.01741997311098125,-0.7954950188741277,0.40198853367121157
1645467573.0172195,0.5230085466648174,-1.7034990261258247,-0.031024454871859793,0.0019392844859114685,0.0008384046650474926,0.10911326005185812,0.9940270784712839,-0.28452149697952145,0.7552406969795228,9.829875241945391,0.012544045333231748,-0.007190656575147353,-0.125972450565284,-0.07727677962407932,0.42614296775116145,0.030941660180977628,-0.0011621752891651249,-0.019798067738822103,-0.8133507517121001,0.5814354999067121,1519.0,1443.0,1523.861589580697,1515.7231791613942,1446.7231791613942,1489.138410419303,1.0198961111382232,-2.6467340433264326,1.2678381282646116,0.8553586242512803,-2.459027784293218,-0.42755106222400785,-1.6268379321882094,0.42755106222400785,-0.3358310317773265,0.027386292927668268,-0.8018892939415941,0.400284914652235
